Year/Date,Event Name,Description,Category,Key Figures/Organizations,Location,Impact/Significance,References/Sources,Technological Type
1950,Turing Test,"Alan Turing proposed the imitation game to assess machine intelligence.",Theoretical Foundations,Alan Turing,UK,"Introduced a foundational concept for evaluating machine intelligence.",https://en.wikipedia.org/wiki/Turing_test,Theoretical AI
1956,Dartmouth Conference,"The term ""Artificial Intelligence"" was coined at this workshop.",Major Breakthroughs,"John McCarthy; Marvin Minsky; Claude Shannon",USA,"Marked the birth of AI as an academic field.",https://en.wikipedia.org/wiki/Dartmouth_workshop,General AI
1958,Perceptron,"Frank Rosenblatt developed the first neural network model – the perceptron.",Neural Networks,Frank Rosenblatt,USA,"Pioneered early neural network research.",https://en.wikipedia.org/wiki/Perceptron,Neural Networks
1961,Unimate Robot,"The first industrial robot, Unimate, was deployed in a General Motors plant.",Applications,Unimation,USA,"Laid the groundwork for robotics in manufacturing.",https://en.wikipedia.org/wiki/Unimate,Robotics
1966,ELIZA,"Joseph Weizenbaum created ELIZA, an early natural language processing program that simulated conversation.",NLP,Joseph Weizenbaum,USA,"Demonstrated early potential for human-computer dialogue.",https://en.wikipedia.org/wiki/ELIZA,Natural Language Processing
1969,Shakey the Robot,"Shakey, developed at SRI International, became the first mobile robot to reason about its actions.",Robotics,SRI International,USA,"Integrated AI planning with robotics.",https://en.wikipedia.org/wiki/Shakey_the_Robot,Robotics; Planning
1970,MYCIN,"An expert system developed for diagnosing blood infections.",Expert Systems,Edward Shortliffe,USA,"Laid the foundation for rule-based expert systems in medicine.",https://en.wikipedia.org/wiki/MYCIN,Expert Systems
1973,Lighthill Report,"The Lighthill report criticized AI research progress, leading to reduced funding.",AI Winters,James Lighthill,UK,"Contributed to the first AI winter.",https://en.wikipedia.org/wiki/Lighthill_report,General AI
1980,Rise of Expert Systems,"Commercial success of expert systems in business and industry became evident.",Expert Systems,Various,USA/Europe,"Demonstrated commercial viability of rule-based AI.",https://en.wikipedia.org/wiki/Expert_system,Expert Systems
1986,Backpropagation Breakthrough,"Revival of neural network training through the backpropagation algorithm.",Neural Networks,"Geoffrey Hinton; David Rumelhart; Ronald Williams",USA,"Revolutionized the training of multi-layer neural networks.",https://en.wikipedia.org/wiki/Backpropagation,Neural Networks
1987,Rise of Fuzzy Logic,"Fuzzy logic began to be applied to control systems and decision-making.",Applications,Lotfi Zadeh,Global,"Enhanced handling of imprecise information in AI systems.",https://en.wikipedia.org/wiki/Fuzzy_logic,Control Systems
1988,Introduction of Genetic Algorithms,"Genetic algorithms were introduced for solving optimization problems.",Machine Learning,John Holland,USA,"Inspired a family of evolutionary computation techniques.",https://en.wikipedia.org/wiki/Genetic_algorithm,Machine Learning
1990,Early Autonomous Vehicles Research,"Initial experiments with autonomous vehicles began to take shape.",Robotics,Various,USA,"Set the stage for modern self-driving car technology.",https://en.wikipedia.org/wiki/Autonomous_car,Robotics
1991,TD-Gammon,"Gerald Tesauro developed a backgammon-playing neural network, TD-Gammon.",Neural Networks,Gerald Tesauro,USA,"Demonstrated the power of neural networks in game playing.",https://en.wikipedia.org/wiki/TD-Gammon,Neural Networks
1997,Deep Blue vs Kasparov,"IBM's Deep Blue defeated world chess champion Garry Kasparov.",Major Breakthroughs,IBM,USA,"Showcased the potential of AI in complex strategic tasks.",https://en.wikipedia.org/wiki/Deep_Blue,AI Models
1998,Support Vector Machines,"The development and popularization of support vector machines for classification.",Machine Learning,Vladimir Vapnik,Global,"Revolutionized pattern recognition techniques.",https://en.wikipedia.org/wiki/Support-vector_machine,Machine Learning
2000,Emergence of Data Mining,"Advances in data mining techniques boosted AI’s ability to extract patterns.",Applications,Various,Global,"Enhanced the extraction of actionable insights from large data sets.",https://en.wikipedia.org/wiki/Data_mining,Machine Learning
2001,Roomba Introduction,"iRobot released the Roomba, bringing AI-driven robotics to households.",Robotics,iRobot,USA,"Popularized consumer robotics.",https://en.wikipedia.org/wiki/Roomba,Robotics
